station_name,free_bikes,empty_slots,latitude,longitude,timestamp
DB Fernverkehr ,4,36,50.092567443847656,8.621186256408691,2026-01-07 22:08:11.686150
Am Römerhof / Europa-Allee,5,35,50.108001708984375,8.622349739074707,2026-01-07 22:08:11.686151
Günthersburgallee / Rothschildallee,0,40,50.12655258178711,8.698197364807129,2026-01-07 22:08:11.686151
Idsteiner Straße / Schneidhainer Straße,1,39,50.10533142089844,8.629496574401855,2026-01-07 22:08:11.686152
Haltestelle Rennbahn,13,27,50.08331298828125,8.651432037353516,2026-01-07 22:08:11.686159
Studentenwohnheim Sandhöfer Allee 2,8,32,50.09217071533203,8.66011905670166,2026-01-07 22:08:11.686160
LES 30.32.34 / Industriestraße,3,37,50.14710998535156,8.551597595214844,2026-01-07 22:08:11.686162
Am Hochwehr / Hügelstraße,5,35,50.143898010253906,8.653403282165527,2026-01-07 22:08:11.686163
Ziegelhüttenplatz / Ziegelhüttenweg,0,40,50.09526824951172,8.681842803955078,2026-01-07 22:08:11.686163
Eschersheimer Landstraße / Fritz-Tarnow-Straße,0,40,50.142730712890625,8.668985366821289,2026-01-07 22:08:11.686165
Saalburgallee / Wittelsbacherallee,0,40,50.124755859375,8.713567733764648,2026-01-07 22:08:11.686166
Lokalbahnhof,6,34,50.10184860229492,8.691269874572754,2026-01-07 22:08:11.686166
Kelsterbacher Straße / Schwanheimer Straße,2,38,50.088531494140625,8.64626693725586,2026-01-07 22:08:11.686167
Fritzlarerstraße / Kirchplatz,9,31,50.12505340576172,8.637423515319824,2026-01-07 22:08:11.686167
Campus Westend Hörsaalzentrum,0,40,50.12852096557617,8.666016578674316,2026-01-07 22:08:11.686168
Hallgartenstraße / Hartmann-Ibach-Straße,0,40,50.13087463378906,8.699603080749512,2026-01-07 22:08:11.686168
Eckenheimer Landstraße / Holzhausenstraße,0,40,50.128299713134766,8.684428215026855,2026-01-07 22:08:11.686169
Geleitsstraße / Wendelsweg,0,40,50.099971771240234,8.69491958618164,2026-01-07 22:08:11.686169
Walter-Kolb-Straße / Elisabethenstraße,2,38,50.106327056884766,8.687041282653809,2026-01-07 22:08:11.686170
Bremer Platz / Fürstenbergstraße,3,37,50.12406539916992,8.66972827911377,2026-01-07 22:08:11.686170
Roßmarkt / An der Hauptwache,5,35,50.1128044128418,8.67853832244873,2026-01-07 22:08:11.686171
Hanauer Landstraße 287,9,31,50.116188049316406,8.725687980651855,2026-01-07 22:08:11.686171
Gerauer Straße / Güntherstraße,4,36,50.081443786621094,8.645849227905273,2026-01-07 22:08:11.686172
Leonardo-da-Vinci-Allee / Am Römerhof,0,40,50.11327362060547,8.627622604370117,2026-01-07 22:08:11.686172
Deutsche Bibliothek,2,38,50.131717681884766,8.683323860168457,2026-01-07 22:08:11.686173
Niederräder Brücke / Hahnstraße,0,40,50.087928771972656,8.631414413452148,2026-01-07 22:08:11.686173
Campus Westend IG Farben,15,25,50.12567138671875,8.665367126464844,2026-01-07 22:08:11.686174
Universitätsklinikum Parkhaus / Sandhofstraße,1,39,50.093040466308594,8.655517578125,2026-01-07 22:08:11.686174
S Station Mühlberg,1,39,50.10173797607422,8.700605392456055,2026-01-07 22:08:11.686176
Südbahnhof / Eingang Diesterwegplatz,5,35,50.10013961791992,8.684870719909668,2026-01-07 22:08:11.686177
Adalbertstraße / Schlossstraße,6,34,50.118892669677734,8.643545150756836,2026-01-07 22:08:11.686177
Mannheimer Straße / Hardenbergstraße,1,39,50.10301208496094,8.656966209411621,2026-01-07 22:08:11.686178
Lyoner Str. / Herriotstr.,4,36,50.08216857910156,8.62816047668457,2026-01-07 22:08:11.686178
Waldschmidtstraße / Wittelsbacher Allee,0,40,50.11827087402344,8.701419830322266,2026-01-07 22:08:11.686179
Am Weißen Stein / Maybachstraße,1,39,50.15814208984375,8.65456771850586,2026-01-07 22:08:11.686179
Hermann-Eggert-Straße / Wohnheim,5,35,50.10038757324219,8.646162986755371,2026-01-07 22:08:11.686180
Wittelsbacher Allee/ Habsburger Allee,5,35,50.12004089355469,8.70531177520752,2026-01-07 22:08:11.686181
Carlo-Schmid-Platz  / Depot,14,26,50.12031173706055,8.651659965515137,2026-01-07 22:08:11.686181
Mövenpick Hotel,2,38,50.109920501708984,8.651028633117676,2026-01-07 22:08:11.686182
Seckbacher Landstraße / Nußbaumstraße,0,40,50.13493728637695,8.712231636047363,2026-01-07 22:08:11.686183
Theodor-Heuss-Allee / Varrentrappstraße,3,37,50.114200592041016,8.645977020263672,2026-01-07 22:08:11.686184
Leonardo-da-Vinci Allee / August-Euler Allee,3,37,50.113853454589844,8.622892379760742,2026-01-07 22:08:11.686184
Holbeinstraße / Nordheimstraße,3,37,50.099239349365234,8.677009582519531,2026-01-07 22:08:11.686185
Europagarten,4,36,50.10829162597656,8.62908935546875,2026-01-07 22:08:11.686185
Grüne Straße / Hanauer Landstraße,3,37,50.113075256347656,8.696329116821289,2026-01-07 22:08:11.686186
Habsburger Allee / Rhönstraße,1,39,50.11752700805664,8.708494186401367,2026-01-07 22:08:11.686186
Rohrbachstraße / Hartmann-Ibach-Straße,0,40,50.12902069091797,8.700864791870117,2026-01-07 22:08:11.686187
Deutschordenstraße / Komturstraße,3,37,50.08976745605469,8.652321815490723,2026-01-07 22:08:11.686187
Berger Straße / Eulengasse,0,40,50.132503509521484,8.715316772460938,2026-01-07 22:08:11.686189
Franklinstraße / Galvanistraße,4,36,50.115516662597656,8.636160850524902,2026-01-07 22:08:11.686190
Kaiserplatz / Kaiserstraße,19,21,50.11042022705078,8.674960136413574,2026-01-07 22:08:11.686190
Fressgass,14,26,50.114173889160156,8.676284790039062,2026-01-07 22:08:11.686191
Studentenwohnheim Ginnheimer Landstr. 42,0,40,50.13013458251953,8.645855903625488,2026-01-07 22:08:11.686192
DB Connect Zentrale / Mainzer Landstr. 169,2,38,50.106014251708984,8.652424812316895,2026-01-07 22:08:11.686192
Walter-Kolb-Straße / Laubestraße,1,39,50.104736328125,8.684187889099121,2026-01-07 22:08:11.686193
